Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
UNNA X,Artist,001PP00000j0IxXYAU,001PP00000j0IxX,,UNNA X,,Ashley  DeLima,,
Evo79,Division,001PP00000j73KNYAY,001PP00000j73KN,,,Evo79,,,
Sanjay,Producer,001PP00000j9RyNYAU,001PP00000j9RyN,,Sanjay,,Joshua Golden,,
Aweminus,Artist,001PP00000jDsXEYA0,001PP00000jDsXE,,Aweminus,,Brandon Famini,,
Synesthesia Systems LLC,Record Label,001PP00000jFFwFYAW,001PP00000jFFwF,,,Synesthesia Systems LLC,,,
Allenora,Artist,001PP00000jFHZnYAO,001PP00000jFHZn,,Allenora,,Thomas Allen-Ora Woolums,,
YSL,Artist,001PP00000jGCcoYAG,001PP00000jGCco,,YSL / LOFII / Samurai,,Mohammed Yaseen Ahammed,,
Myr3n,Producer,001PP00000jHBBvYAO,001PP00000jHBBv,,Myr3n,,Myron Pronty,,
leykytwink,Producer,001PP00000jMdYwYAK,001PP00000jMdYw,,leykytwink,,Semen Boltunov,,
Havin Motion,Artist,001PP00000jMgZvYAK,001PP00000jMgZv,,Havin Motion,,Dwayne Isaacs,,
Star Trak Entertainment,Division,001PP00000jMskcYAC,001PP00000jMskc,,,Star Trak Entertainment LLC,,,
Chowwow Records,Record Label,001PP00000jO4erYAC,001PP00000jO4er,,,Anthony Keyrouz FZC,,,
Young Money Motley Krew,Management,001PP00000jUYqVYAW,001PP00000jUYqV,,,"Young Money Motley Krew, LLC",,,
ETHER,Artist,001PP00000jVBdXYAW,001PP00000jVBdX,,ETHER,,Matthew Hagan,,
Hammerhead,Artist,001PP00000jVT0sYAG,001PP00000jVT0s,,Hammerhead,,Alexandre Taverne,,
Madcore,Artist,001PP00000jVgsMYAS,001PP00000jVgsM,,Madcore,,Mees Rutgers,,
Phil Harris,Artist,001PP00000jVqJmYAK,001PP00000jVqJm,,Phil Harris,,Phil Harris,,
six.wtw,Producer,001PP00000jVuMdYAK,001PP00000jVuMd,,six.wtw,,Mate Molnar,,
Jamakabi,Artist,001PP00000jsb7WYAQ,001PP00000jsb7W,,Jamakabi,,Jermaine Coombs,,
AiSh,Artist,001PP00000jtK4NYAU,001PP00000jtK4N,,AiSh,,Ashpreet Kaur,,
Nurko Music,Artist,001PP00000juv8JYAQ,001PP00000juv8J,,Nurko,Nurko Music,,,
WadeForTheWin,Producer,001PP00000jvzzfYAA,001PP00000jvzzf,,WadeForTheWin,,Dayron Wade,,
Elliot Cleverdon,Artist,001PP00000jw0nQYAQ,001PP00000jw0nQ,,Elliot Cleverdon,,Elliot Cleverdon,,
King Ace D’General,Artist,001PP00000k33H7YAI,001PP00000k33H7,,King Ace D’General,,Angel Rodriguez,,
christiangetbizzy,Producer,001PP00000k3UNSYA2,001PP00000k3UNS,,christiangetbizzy,,Christian Hamilton,,
RRARI World Records LLC,Record Label,001PP00000kABhTYAW,001PP00000kABhT,,,RRARI World Records LLC,,,
King George,Producer,001PP00000kANibYAG,001PP00000kANib,,King George,,Johnnie  Harris,,
EBK Leebo,Artist,001PP00000kBWoVYAW,001PP00000kBWoV,,EBK Leebo,,Lee Taylor III,,
Stakz DeVito,Artist,001PP00000kUZnXYAW,001PP00000kUZnX,,Stakz DeVito,,Salvatore  Orestano II,,
Fractures,Artist,001PP00000kakMoYAI,001PP00000kakMo,,Fractures,,Mark Zito,,
AyeReek,Producer,001PP00000kbnlwYAA,001PP00000kbnlw,,AyeReek,,TYREK MATTHEWS,,
Cities Aviv,Artist,001PP00000kctAvYAI,001PP00000kctAv,,Cities Aviv,,Wilbert Mays,,
45Gbaby,Artist,001PP00000klMsFYAU,001PP00000klMsF,,45Gbaby,,Gregory Juwan Harris,,
Topnotch Idiots,Artist,001PP00000l19pTYAQ,001PP00000l19pT,,Top Notch Idiots,,Aris Sureni,,
2k5 jaay,Producer,001PP00000l1LCDYA2,001PP00000l1LCD,,2k5 jaay,,Juan Francisco Palmili,,
DJ Planet Express,Artist,001PP00000l7O4bYAE,001PP00000l7O4b,,DJ Planet Express,,Joseph Manzoli,,
Jan Metternich,Artist,001PP00000l7i7iYAA,001PP00000l7i7i,,Jan Metternich,,Jan Metternich,,
Rafaz,Musician,001PP00000l8wrpYAA,001PP00000l8wrp,,Rafaz,,Rafael Augusto Kuhn,,
Taelor Deitcher,Artist,001PP00000lNPcCYAW,001PP00000lNPcC,,Glass Petals,,Taelor Deitcher,,
Jamie-Rose Johnson,Artist,001PP00000lNkTiYAK,001PP00000lNkTi,,Rose Motion,,Jamie-Rose Johnson,,
Malik Jared Garraway,Artist,001PP00000lNosMYAS,001PP00000lNosM,,Rose Motion,,Malik Jared Garraway,,
Rose Motion,Artist,001PP00000lO2TsYAK,001PP00000lO2Ts,,Rose Motion,,Malik Jared Garraway,,
Johnny Jover,Artist,001PP00000lOGDRYA4,001PP00000lOGDR,,Glass Petals,,Johnny Jover,,
